day,susceptible,infected,recovered,dead,new_infections,cumulative_infected,currently_infected,R_t,R0_proxy
338,8796,5473,861665,124066,319,991204,5603,0.05693378547206854,0.05693378547206854
339,8478,5372,862035,124115,318,991522,5473,0.0581034167732505,0.0581034167732505
340,8171,5273,862392,124164,307,991829,5372,0.0571481757259866,0.0571481757259866
341,7897,5110,862769,124224,274,992103,5273,0.05196282950881851,0.05196282950881851
342,7602,5017,863098,124283,295,992398,5110,0.057729941291585124,0.057729941291585124
343,7345,4877,863449,124329,257,992655,5017,0.05122583217061989,0.05122583217061989
344,7079,4766,863783,124372,266,992921,4877,0.05454172647119131,0.05454172647119131
345,6808,4662,864108,124422,271,993192,4766,0.056861099454469155,0.056861099454469155
346,6559,4541,864431,124469,249,993441,4662,0.05341055341055341,0.05341055341055341
347,6329,4410,864751,124510,230,993671,4541,0.050649636643911033,0.050649636643911033
348,6104,4287,865040,124569,225,993896,4410,0.05102040816326531,0.05102040816326531
349,5896,4124,865358,124622,208,994104,4287,0.04851877770002332,0.04851877770002332
350,5692,3979,865662,124667,204,994308,4124,0.049466537342386034,0.049466537342386034
351,5477,3878,865928,124717,215,994523,3979,0.05403367680321689,0.05403367680321689
352,5260,3803,866183,124754,217,994740,3878,0.05595667870036101,0.05595667870036101
353,5055,3708,866453,124784,205,994945,3803,0.05390481199053379,0.05390481199053379
354,4841,3645,866694,124820,214,995159,3708,0.05771305285868392,0.05771305285868392
355,4642,3503,866990,124865,199,995358,3645,0.05459533607681756,0.05459533607681756
356,4423,3450,867229,124898,219,995577,3503,0.06251784184984299,0.06251784184984299
357,4230,3388,867444,124938,193,995770,3450,0.05594202898550724,0.05594202898550724
358,4027,3325,867674,124974,203,995973,3388,0.05991735537190083,0.05991735537190083
359,3823,3281,867889,125007,204,996177,3325,0.06135338345864662,0.06135338345864662
360,3643,3203,868112,125042,180,996357,3281,0.05486132276744895,0.05486132276744895
361,3436,3171,868323,125070,207,996564,3203,0.06462691226974711,0.06462691226974711
362,3254,3104,868544,125098,182,996746,3171,0.05739514348785872,0.05739514348785872
363,3073,3039,868754,125134,181,996927,3104,0.058311855670103094,0.058311855670103094
364,2893,2962,868979,125166,180,997107,3039,0.059230009871668314,0.059230009871668314
365,2727,2905,869173,125195,166,997273,2962,0.056043214044564485,0.056043214044564485
